15544.0801,4194.5127,20600.5293
22055.9199,3441.092,3605.6499
82.2678,3189.7725,19146.3047
15709.3301,3242.3242,39460.1367
15677.7744,3411.5308,37876.2539
11007.7451,3907.9226,34778.7305
6347.2769,3732.5139,33234.0273
82.2678,3189.7725,31646.3047
29599.1602,2637.3931,34625.9688
28146.5,2926.0583,37844.8984
26176.7422,2532.7722,29691.1582
27795.6543,2477.9321,29736.3125
43840.0039,3499.8032,16033.0352
34441.5898,4164.7739,12901.543
37564.5273,3500.4421,3513.1875
40682.0352,3380.5044,3504.8198
31332.2676,3189.7725,396.3051
28207.2676,3189.7725,396.3051
25082.2676,3189.7725,396.3051
28256.3145,3462.2847,2003.9463
28291.8086,3696.2478,3599.7695
34465.1953,3931.5474,6667.1885
28266.041,4188.1401,11400.125
25225.6641,3899.9277,6775.9512
28316.9883,4138.3608,8315.8984
28298.2871,4189.6455,9864.0254
31378.1191,4216.8687,9828.0059
31358.0586,4235.0493,11374.3164
34450.1406,4166.1963,11346.3232
37555.7461,3987.9622,11327.252
25142.666,3419.9971,2012.1937
25186.7305,3616.4863,3614.1433
28313.752,3888.814,5183.729
31391.1895,3880.2234,5145.1187
31394.748,4036.1533,6713.4077
34462.0313,4046.1394,8229.1621
40670.9492,3554.2813,6624.1206
46944.8789,3227.04,6637.1802
43804.3711,3362.9016,6627.2871
37554.8125,3758.1038,6635.1831
31379.6328,3684.9814,3569.5056
34465.5273,3610.4543,3536.377
34462.5156,3410.8401,1967.5063
28322.1445,4037.1343,6755.7871
31390.3691,4149.4692,8274.3701
34456.9844,4125.5034,9788.8672
37553.332,3936.5886,9762.0576
43807.6953,3441.1875,9756.2734
46957.2695,3189.7725,396.3051
50082.2695,3189.7725,6646.3052
28220.252,4130.9956,12924.1553
25105.3984,3970.3491,12929.3408
28160.9883,4015.5972,14436.1338
26516.0195,3784.3528,15927.2871
35999.5703,4076.0271,14458.3857
36001.2305,3915.9717,17581.0605
36002.7617,3796.2708,19142.3379
31208.1797,3789.6165,17492.9277
26340.6523,3369.1982,18901.916
27937.2363,3414.3582,18930.0313
28090.5957,3847.3689,15938.083
31253.1172,3969.3525,15970.6221
34408.1797,3903.4263,17555.9395
34420.043,4027.8806,16005.7451
31084.8887,3157.0308,22068.0215
29438.2813,3039.0186,21997.625
27802.6523,2958.8857,21937.0371
31057.959,2960.5864,23605.1641
29400.7109,2838.3887,23525.9707
27755.7305,2762.5803,23457.8047
26132.4824,2757.3918,23408.8672
35999.6875,4102.5991,12896.8242
37567.0078,3998.7212,14461.0039
37575.5742,3955.4036,16029.3232
31330.2559,4200.709,12913.2979
37560.3008,4009.7285,12893.5781
40687.8438,3761.3105,12891.0742
40699.582,3767.5151,14462.9824
43820.2266,3491.8313,12892.1113
42332.2852,3470.6284,22326.748
43862.7695,3465.6594,19175.7305
43882.9609,3398.9028,22315.9922
37626.6406,3302.959,25434.3535
39202.0039,3562.1646,22323.7422
37614.4219,3560.4761,22303.123
36010.5156,3217.7437,25388.9902
26243.2168,2592.7463,31308.9902
24656.8262,2727.4214,31291.8789
